2026-07-17 17:40:03,740 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-17 17:44:31,687 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-28 14:43:46,312 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 14:43:56,381 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 14:44:06,447 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 18:55:45,638 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NewConnectionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to establish a new connection: [Errno 113] No route to host"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 18:55:55,814 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NewConnectionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to establish a new connection: [Errno 113] No route to host"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 18:56:05,864 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 18:56:15,929 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 18:56:25,980 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 18:56:36,036 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 19:44:12,120 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 20:05:12,440 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-28 20:05:22,543 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Max retries exceeded with url: /api/v3/calendar/17/285023/289273/standing?language=en&count=200 (Caused by NameResolutionError("HTTPSConnection(host='api.fifa.com', port=443): Failed to resolve 'api.fifa.com' ([Errno -3] Temporary failure in name resolution)"))Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 17:31:07,767 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 17:35:00,977 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
